Name,Alternate names,IATA,ICAO,Use,Subordinate,Coordinates,Latitude,Longitude,Runways,Tenants,Type
Anqing Air Base,Anqing Tianzhushan Airport,AQG,ZSAQ,Dual,ETCAF,30.58333N 117.05000E,30.58333,117.05,"06/24: 2,800 m",28th Bomber Regiment (H-6K),Air Base
Anshan Air Base,Anshan Teng'ao Airport,AOG,ZYAS,Dual,NTCAF,41.10583N 122.85389E,41.10583,122.85389,"02/20: 2,000 m",1st Fighter Brigade J-20A,Air Base
Bailian Air Base,Liuzhou Bailian Airport,LZH,ZGZH,Dual,STCAF,24.20778N 109.39139E,24.20778,109.39139,"16/34: 2,500 m",126th Fighter Brigade (JH-7A),Air Base
Baishiyi Air Base,Chongqing Baishiyi Airport,N/A,CN-0030,Military,"STCAF, WTCAF",29.49583N 106.35917E,29.49583,106.35917,"01/19: 2,272 m","98th Fighter Brigade (J-11, J-16, Su-27), 99th Fighter Brigade (J-7II, JH-7A)",Air Base
Bengbu Air Base,Bengbu Airport,BFU,ZSBB,Dual,PLAAF HQ,32.84778N 117.32028E,32.84778,117.32028,"07/25: 2,600 m","4th Training Regiment (JL-8, JL-9, JL-10)",Air Base
Changsha Air Base,Changsha Datuopu Airport,CSX,ZGCS,Military,STCAF,28.06917N 112.95750E,28.06917,112.9575,"18/36: 2,490 m","54th Air Brigade (Su-30MKK), Changsha Aircraft Factory (H-6)",Air Base
Chaoyangchuan Air Base,Yanji Chaoyangchuan,YNJ,ZYYJ,Dual,NTCAF,42.88278N 129.45083E,42.88278,129.45083,"09/27: 2,600 m","61st Fighter Brigade (J-10, Y-5)",Air Base
Chenggu Air Base,Hanzhong Chenggu Airport,HZG,ZLHZ,Dual,NTCAF,33.13417N 107.20389E,33.13417,107.20389,"07/25: 2,500 m","Aerial Survey Regiment (An-30, Y-8, Y-12), Shaanxi Aircraft Corp.",Air Base
Chifeng Air Base,Chifeng Yulong Airport,CIF,ZBCF,Dual,NTCAF,42.15972N 118.84083E,42.15972,118.84083,"03/21: 2,800 m",2nd Fighter Brigade (J-10C),Air Base
Dafangshen Air Base,Changchun Dafanshen Airport,CGQ,ZYCC,Military,PLAAF HQ,43.90667N 125.19750E,43.90667,125.1975,"06/24: 2,800 m","1st Training Regiment (CJ-6, JL-8, JJ-7)",Air Base
Dongta Air Base,Shenyang Dongta Airport,SHE,ZYYY,Dual,NTCAF,41.78417N 123.49639E,41.78417,123.49639,"06/24: 2,400 m",Factory 5704,Air Base
Ertaizi Air Base,Jilin Ertaizi Airport,JIL,ZYJL,Military,NTCAF,44.00222N 126.39417E,44.00222,126.39417,"06/24: 2,600 km",,Air Base
Fenghuangshan Air Base,Chengdu Fenghuangshan Airport,N/A,,Military,WTCAF,304219N 1035701E,304219, 1035701,,,Air Base
Fiery Cross Reef,Yongshu Airport,N/A,CN-0029,Military,STCAF,9.54667N 112.88667E,9.54667,112.88667,"05/23: 3,300 m",,Air Base
Fouliang Air Base,Jingdezhen Luojia Airport,JDZ,ZSJD,Dual,ETCAF,29.33944N 117.17667E,29.33944,117.17667,"04/22: 2,400 m",,Air Base
Fuzhou Air Base,Fuzhou Yixu Airport,FOC,ZSFZ,Military,ETCAF,26.00389N 119.31278E,26.00389,119.31278,"08/26: 2,400 m",5th Fendui (J-6),Air Base
Gaoqi Air Base,Xiamen Gaoqi International Airport,XMN,ZSAM,Dual,ETCAF,24320N 11870E,24320, 11870,"05/23: 3,400 m",,Air Base
Gonggar Air Base,Lhasa Gonggar Airport,LXA,ZULS,Dual,WTCAF,29.29806N 90.91222E,29.29806,90.91222,"09L/27R: 4,000 m","J-10, J-11, KJ-500",Air Base
Guangzhou East Air Base,Cencun Airport,N/A,CN-0059,Dual,STCAF,23.16472N 113.36917E,23.16472,113.36917,"32/14: 1,800 m","Y-7, Z-8, Z-9, Mi-17",Air Base
Hailang Air Base,Mudanjiang Hailang International Airport,MDG,ZYMD,Dual,NTCAF,44.52472N 129.56917E,44.52472,129.56917,"04/22: 2,600 m",63rd Air Brigade,Air Base
Hami Air Base,Hami Airport,HMI,ZWHM,Dual,WTCAF,42.84167N 93.66861E,42.84167,93.66861,"11/29: 2,400 m",2nd Training Brigade (JL-9),Air Base
Harbin-Ping Fan Tien Air Base,Harbin-Pingfang Airport,N/A,,Military,NTCAF,45.59889N 126.66083E,45.59889,126.66083,"08/26: 2,200 m",Harbin Aircraft Manufacturing Corp.,Air Base
Hetian Air Base,Hotan Airport,HTN,ZWTN,Dual,WTCAF,37.04000N 79.86167E,37.04,79.86167,"11/29: 3,200 m",,Air Base
Huairen Air Base,"Datong Huairen Airport, Shuozhou Huairen Airport",N/A,CN-0015,Military,CTCAF,39.71750N 113.14472E,39.7175,113.14472,"04/22: 3,200 m","15th Fighter Division, 43rd Air Brigade (J-10)",Air Base
Huangguoshu Air Base,Anshun Huangguoshu Airport,AVA,ZUAS,Dual,STCAF,26.26083N 105.87389E,26.26083,105.87389,"08/26: 2,800 m",Guizhou Aviation Industry Company Shuangyang Aircraft Manufactory,Air Base
Huangtianba Air Base [zh],"Chengdu Huangtianba Airbase, Chengdu Wenjiang Airport",N/A,CN-0026,Military,STCAF,30.70333N 103.94944E,30.70333,103.94944,"02/20: 2,550 m",Chengdu Aircraft Corp.,Air Base
Huxian Air Base,Huxian Airport,N/A,CN-0137,Military,WTCAF,34.15306N 108.59972E,34.15306,108.59972,"08/26: 3,030 m","1st Training Brigade (Z-9, Y-7)",Air Base
Jianqiao Air Base,Hangzhou Jianqiao Airport,HGH,ZSHC,Military,ETCAF,30.33528N 120.24083E,30.33528,120.24083,"07/25: 3,200 m",83rd Fighter Brigade,Air Base
Jiaxing Air Base,Jiaxing Airport,N/A,CN-0154,Military,"ETCAF,",30.70556N 120.67417E,30.70556,120.67417,"05/23: 3,400 m",84th Fighter Brigade (JH-7A),Air Base
Jining Air Base,Jining Qufu Airport,JNG,ZSJG,Dual,CTCAF,35.29278N 116.34639E,35.29278,116.34639,"09/27: 2,800 m","55th Fighter Brigade (J-11, Su-27)",Air Base
