Record_ID,Location_Name,Location_Type,Country,ISO2,ISO3,Region,Admin1_Name,Latitude,Longitude,Timezone,Population,Population_Source,Population_Bamwor,Population_SimpleMaps,Population_Starting_List,Population_Size_Class,Capital_Classification,Country_GDP_Per_Capita_USD,Country_GDP_PPP_USD,OpenStreetMap_URL,Wikipedia_Search_URL,Image_Research_URL,Primary_Source,Starting_List_Included
1,Tokyo,City / administrative seat,Japan,JP,JPN,East and Southeast Asia,Tokyo,35.689500,139.691710,Asia/Tokyo,"37,977,000",SimpleMaps,"9,733,276","37,977,000",,10 million+,National capital,"46,100.00","5,715,000,000,000.00",https://www.openstreetmap.org/?mlat=35.689500&mlon=139.691710#map=10/35.689500/139.691710,https://en.wikipedia.org/w/index.php?search=Tokyo%2C+Japan,https://commons.wikimedia.org/w/index.php?search=Tokyo%2C+Japan&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
2,Jakarta,City / administrative seat,Indonesia,ID,IDN,East and Southeast Asia,Jakarta,-6.214620,106.845130,Asia/Jakarta,"34,540,000",SimpleMaps,"8,540,121","34,540,000",,10 million+,National capital,"14,500.00","4,102,000,000,000.00",https://www.openstreetmap.org/?mlat=-6.214620&mlon=106.845130#map=10/-6.214620/106.845130,https://en.wikipedia.org/w/index.php?search=Jakarta%2C+Indonesia,https://commons.wikimedia.org/w/index.php?search=Jakarta%2C+Indonesia&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
3,Chongqing,City / administrative seat,China,CN,CHN,East and Southeast Asia,Chongqing,29.560260,106.557710,Asia/Shanghai,"32,054,159",Uploaded starting list,"7,457,599","7,739,000","32,054,159",10 million+,First-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=29.560260&mlon=106.557710#map=10/29.560260/106.557710,https://en.wikipedia.org/w/index.php?search=Chongqing%2C+China,https://commons.wikimedia.org/w/index.php?search=Chongqing%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
4,Delhi,City / administrative seat,India,IN,IND,South Asia,Delhi,28.651950,77.231490,Asia/Kolkata,"29,617,000",SimpleMaps,"11,034,555","29,617,000",,10 million+,First-order administrative capital,"9,800.00","14,244,000,000,000.00",https://www.openstreetmap.org/?mlat=28.651950&mlon=77.231490#map=10/28.651950/77.231490,https://en.wikipedia.org/w/index.php?search=Delhi%2C+India,https://commons.wikimedia.org/w/index.php?search=Delhi%2C+India&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
5,Guangzhou,City / administrative seat,China,CN,CHN,East and Southeast Asia,Guangdong,23.116670,113.250000,Asia/Shanghai,"26,940,000",Uploaded starting list,"16,096,724","20,902,000","26,940,000",10 million+,First-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=23.116670&mlon=113.250000#map=10/23.116670/113.250000,https://en.wikipedia.org/w/index.php?search=Guangzhou%2C+China,https://commons.wikimedia.org/w/index.php?search=Guangzhou%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
6,Shanghai,City / administrative seat,China,CN,CHN,East and Southeast Asia,Shanghai,31.222220,121.458060,Asia/Shanghai,"24,874,500",Bamwor,"24,874,500","22,120,000","24,870,895",10 million+,First-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=31.222220&mlon=121.458060#map=10/31.222220/121.458060,https://en.wikipedia.org/w/index.php?search=Shanghai%2C+China,https://commons.wikimedia.org/w/index.php?search=Shanghai%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
7,Mumbai,City / administrative seat,India,IN,IND,South Asia,Maharashtra,19.072830,72.882610,Asia/Kolkata,"23,355,000",SimpleMaps,"12,691,836","23,355,000",,10 million+,First-order administrative capital,"9,800.00","14,244,000,000,000.00",https://www.openstreetmap.org/?mlat=19.072830&mlon=72.882610#map=10/19.072830/72.882610,https://en.wikipedia.org/w/index.php?search=Mumbai%2C+India,https://commons.wikimedia.org/w/index.php?search=Mumbai%2C+India&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
8,Manila,City / administrative seat,Philippines,PH,PHL,East and Southeast Asia,National Capital Region,14.604200,120.982200,Asia/Manila,"23,088,000",SimpleMaps,"1,600,000","23,088,000",,10 million+,National capital,"10,400.00","1,202,000,000,000.00",https://www.openstreetmap.org/?mlat=14.604200&mlon=120.982200#map=10/14.604200/120.982200,https://en.wikipedia.org/w/index.php?search=Manila%2C+Philippines,https://commons.wikimedia.org/w/index.php?search=Manila%2C+Philippines&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
9,Sao Paulo,City / administrative seat,Brazil,BR,BRA,South America,São Paulo,-23.547500,-46.636110,America/Sao_Paulo,"22,046,000",SimpleMaps,"12,400,232","22,046,000",,10 million+,First-order administrative capital,"19,600.00","4,165,000,000,000.00",https://www.openstreetmap.org/?mlat=-23.547500&mlon=-46.636110#map=10/-23.547500/-46.636110,https://en.wikipedia.org/w/index.php?search=Sao+Paulo%2C+Brazil,https://commons.wikimedia.org/w/index.php?search=Sao+Paulo%2C+Brazil&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
10,Beijing,City / administrative seat,China,CN,CHN,East and Southeast Asia,Beijing,39.907500,116.397230,Asia/Shanghai,"21,893,095",Uploaded starting list,"18,960,744","19,433,000","21,893,095",10 million+,National capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=39.907500&mlon=116.397230#map=10/39.907500/116.397230,https://en.wikipedia.org/w/index.php?search=Beijing%2C+China,https://commons.wikimedia.org/w/index.php?search=Beijing%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
