Country,ISO2,Metro Area / City,Admin Region,Longitude,Latitude,Population,Population Proper,Capital Status,Source Country Name,Source URL
China,CN,Chongqing,Chongqing,106.5069,29.55,"32,054,159","32,054,159",admin,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Guangzhou,Guangdong,113.26,23.13,"26,940,000","18,676,605",admin,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Shanghai,Shanghai,121.4692,31.2325,"24,870,895","24,870,895",admin,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Beijing,Beijing,116.4075,39.904,"21,893,095","21,893,095",primary,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Chengdu,Sichuan,104.0633,30.66,"20,937,757","20,937,757",admin,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Shenzhen,Guangdong,114.0544,22.5467,"17,619,000","17,494,398",minor,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Tianjin,Tianjin,117.2056,39.1467,"13,866,009","13,866,009",admin,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Suzhou,Jiangsu,120.6194,31.3,"12,748,262","12,748,262",minor,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Wuhan,Hubei,114.2975,30.595,"12,447,718","12,447,718",admin,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Xi’an,Shaanxi,108.9422,34.2611,"12,328,000","12,183,280",admin,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Hangzhou,Zhejiang,120.1675,30.25,"11,936,010","11,936,010",admin,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Baoding,Hebei,115.4845,38.8671,"11,544,036","11,544,036",minor,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Linyi,Shandong,118.3502,35.1041,"11,018,365","11,018,365",,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Dongguan,Guangdong,113.7493,23.0475,"10,646,000","10,466,625",minor,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Harbin,Heilongjiang,126.6333,45.75,"10,635,971","10,635,971",admin,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Qingdao,Shandong,120.4,36.1167,"10,071,722","10,071,722",minor,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Nanyang,Henan,112.5292,32.9987,"9,713,112","9,713,112",minor,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Foshan,Guangdong,113.1056,23.0292,"9,498,863","9,498,863",minor,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Nanjing,Jiangsu,118.7789,32.0608,"9,314,685","9,314,685",admin,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Jinan,Shandong,116.9833,36.6667,"9,202,432","9,202,432",admin,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Tongshan,Jiangsu,117.1859,34.261,"9,083,790","9,083,790",minor,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Zhoukou,Henan,114.6418,33.625,"9,026,015","9,026,015",minor,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Ganzhou,Jiangxi,114.9336,25.8292,"8,970,014","8,970,014",minor,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
China,CN,Heze,Shandong,115.4333,35.2333,"8,795,939","8,795,939",minor,China,https://simplemaps.com/static/data/country-cities/cn/cn.csv
