Oblast,Name,Latitude,Longitude,Country,Type
Armenia,Erebuni air base,40.126686,44.472957,Russia,Air Base
"Nakhimovsky District, Sevastopol",Kacha air base,44.779215,33.569155,Russia,Air Base
Crimean Peninsula,Gvardeyskoye air base,45.117267,33.977795,Russia,Air Base
"Yeysky District, Krasnodar Krai, Russia",Yeysk air base,46.681479,38.217316,Russia,Air Base
"Millerovsky District, Rostov Oblast, Russia",Millerovo air base,48.956327,40.29476,Russia,Air Base
"Krymsky District, Krasnodar Krai, Russia",Krymsk air base,44.963099,37.998962,Russia,Air Base
"Morozovsky District, Rostov Oblast, Russia",Morozovsk air base,48.313799,41.78839,Russia,Air Base
"Primorsko-Akhtarsky District, Krasnodar Krai, Russia",Primorsko-Akhtarsk air base,46.059297,38.239631,Russia,Air Base
"Budyonnovsky District, Stavropol Krai, Russia",Budyonnovsk air base,44.832285,44.011223,Russia,Air Base
"Kalachyovsky District, Volgograd Oblast, Russia",Marinovka air base,48.640283,43.788928,Russia,Air Base
"Korenovskiy Rayon, Krasnodar Krai, Russia",Korenovsk helicopter base,45.444958,39.411564,Russia,Air Base
"Prionezhsky District, Republic of Karelia, Russia",Besovets air base,61.881239,34.151519,Russia,Air Base
"Gorod Monchegorsk, Murmansk Oblast, Russia",Monchegorsk air base,67.985445,33.012552,Russia,Air Base
"Bologovsky District, Tver Oblast, Russia",Khotilovo air base,57.65839,34.100862,Russia,Air Base
"Kursk Metropolitan Area, Kursk Oblast, Russia",Kursk-Vostochniy air base,51.753895,36.294149,Russia,Air Base
"Pushkin, St Petersburg, Russia",Pushkin helicopter base,59.684168,30.335546,Russia,Air Base
"Ostrovsky District, Pskov Oblast, Russia",Veretye air base,57.293611,28.435013,Russia,Air Base
"Gorod Artem, Primorsky Krai, Russia",Centralnaya Uglovaya air base,43.343657,132.057037,Russia,Air Base
"Komsomolsk-on-Amur, Khabarovsk Krai, Russia",Dzemgi air base,50.604704,137.079849,Russia,Air Base
"Komsomolsky District, Khabarovsk Krai, Russia",Khurba air base,50.406548,136.941319,Russia,Air Base
"Yakovlevsky District, Primorsky Krai, Russia",Varfolomeyevka air base,44.261614,133.414106,Russia,Air Base
"Chernigovsky District, Primorsky Krai, Russia",Chernigovka air base,44.325199,132.547474,Russia,Air Base
"Chitinskiy Rayon, Zabaykalsky Krai, Russia",Domna air base,51.913673,113.118668,Russia,Air Base
"Chita, Zabaykalsky Krai, Russia",Cheremushki helicopter base,52.075923,113.429027,Russia,Air Base
"Kamenskiy Rayon, Sverdlovsk Oblast, Russia",Travyany air base,56.434029,61.986235,Russia,Air Base
"Kurchatovskiy Rayon, Chelyabinsk, Chelyabinsk Oblast, Russia",Shagol (Chelyabinsk) air base,55.25917,61.300955,Russia,Air Base
"Permskiy Rayon, Perm Krai, Russia",Bolshoye Savino air base,57.912203,56.024265,Russia,Air Base
"Kansky District, Krasnoyarsk Krai, Russia",Dalniy (Kansk) air base,56.13063,95.667935,Russia,Air Base
"Ysyk-Ata, Kyrgyzstan",Kant air base,42.856903,74.846206,Russia,Air Base
"Novosibirsk Oblast, Russia",Tolmachevo helicopter base,55.017493,82.60191,Russia,Air Base
"Engelssky District, Saratov Oblast, Russia",Engels air base,51.484378,46.210897,Russia,Air Base
"Kirovsky District, Kaluga Oblast, Russia",Shaykovka air base,54.229718,34.373989,Russia,Air Base
"Gorod Monchegorsk, Murmansk Oblast, Russia",Olenya air base,68.148569,33.459545,Russia,Air Base
"Seryshevsky District, Amur Oblast, Russia",Ukrainka air base,51.164921,128.443394,Russia,Air Base
"Badai, Irkutsk Oblast, Russia, 665471",Belaya air base,52.913353,103.562965,Russia,Air Base
"Akhtubinsky District, Astrakhan Oblast, Russia",Akhtubinsk air base,48.307861,46.197507,Russia,Air Base
"Kulebaksky District, Nizhny Novgorod Oblast, Russia",Savasleika air base,55.446543,42.311783,Russia,Air Base
"Odintsovsky District, Moscow Oblast, Russia",Kubinka air base,55.608414,36.65554,Russia,Air Base
"Moskovskiy Rayon, Ryazan, Ryazan Oblast, Russia",Dyagilevo air base,54.645334,39.564343,Russia,Air Base
"Gorod Torzhok, Torzhok, Tver Oblast, Russia",Torzhok helicopter base,57.044466,35.002785,Russia,Air Base
"Armavir, Krasnodar Krai, Russia",Armavir air base,44.972207,41.107235,Russia,Air Base
"Kushchyovsky District, Krasnodar Krai, Russia",Kushchyovskaya air base,46.539263,39.552327,Russia,Air Base
"Tsentral'nyy Rayon, Kaliningrad, Kaliningrad Oblast, Russia",Chkalovsk air base,54.767622,20.393372,Russia,Air Base
"Chernyakhovsk, Kaliningrad Oblast, Russia",Chernyakhovsk air base,54.599815,21.781941,Russia,Air Base
"Donskoye, Kaliningrad Oblast, Russia, 238570",Donskoye air base,54.93878,19.979528,Russia,Air Base
"Kaliningrad Oblast, Russia",Khrabrovo air base,54.888103,20.584067,Russia,Air Base
Crimean Peninsula,Saki air base,45.08952,33.596363,Russia,Air Base
"Anadyrsky District, Chukotka Autonomous Okrug, Russia",Ugolny air base,64.731952,177.73613,Russia,Air Base
"Iultinsky District, Chukotka Autonomous Okrug, Russia",Mys Shmidta air base,68.869211,-179.380989,Russia,Air Base
"Yelizovsky District, Kamchatka Krai, Russia",Yelizovo air base,53.165299,158.450317,Russia,Air Base
"Partizansky District, Primorsky Krai, Russia",Nikolayevka Primorskaya air base,43.087946,133.192749,Russia,Air Base
"Vaninsky District, Khabarovsk Krai, Russia",Sovetskaya Gavan air base,49.236879,140.190525,Russia,Air Base
"Gorod Artem, Primorsky Krai, Russia, 692756",Vladivostok air base,43.3927,132.149563,Russia,Air Base
"Yuzhny Island, Arkhangelsk Oblast, Russia",Amderma-2 (Rogachevo) air base,71.608932,52.465897,Russia,Air Base
"Alexandra Land, Arkhangelsk Oblast, Russia",Nagurskoye air base,80.802525,47.665558,Russia,Air Base
"Taymyrsky Dolgano-Nenetsky District, Krasnoyarsk Krai, Russia",Sredny air base,79.514661,91.233215,Russia,Air Base
"Far Eastern Federal District, Russia",Temp air base,75.782317,137.630537,Russia,Air Base
"Severomorsk, Murmansk Oblast, Russia",Severomorsk-1 air base,69.020308,33.43689,Russia,Air Base
"Vologodsky District, Vologda Oblast, Russia",Kipelovo air base,59.190702,39.125748,Russia,Air Base
"Novomoskovsky Administrative Okrug, Moscow, Russia",Ostafyevo air base,55.50725,37.506294,Russia,Air Base
"Kolsky District, Murmansk Oblast, Russia",Severomorsk-3 air base,68.868964,33.718071,Russia,Air Base
"Sovetskiy Rayon, Voronezh, Voronezh Oblast, Russia",Baltimor (Voronezh) air base,51.619829,39.144287,Russia,Air Base
"Pochinkovsky District, Smolensk Oblast, Russia",Shatalovo air base,54.338746,32.474556,Russia,Air Base
"Vyborgskiy, St Petersburg, Russia",Levashovo air base,60.087448,30.191674,Russia,Air Base
"Vyborgsky District, Leningrad Oblast, Russia",Pribylovo helicopter base,60.459418,28.742809,Russia,Air Base
"Vyazemsky District, Smolensk Oblast, Russia",Dvoyevka air base,55.145919,34.380341,Russia,Air Base
"Oktyabr'skiy Rayon, Rostov-on-Don, Rostov Oblast, Russia",Tsentralny air base,47.277482,39.635754,Russia,Air Base
"Nakhimovsky District, Sevastopol",Belbek air base,44.690136,33.572846,Russia,Air Base
Crimean Peninsula,Dzhankoi helicopter base,45.698986,34.414673,Russia,Air Base
"Zernogradsky District, Rostov Oblast, Russia",Zernograd helicopter base,46.835301,40.378189,Russia,Air Base
